Country / territory,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
 Ireland,"435,659","530,747","548,773","567,537","608,974","708,771","750,112","779,063","810,885","844,921","880,832"
 Israel,"410,909","489,736","525,159","513,394","542,285","610,752","666,407","697,005","730,133","763,966","799,062"
 Italy,"1,905,956","2,180,657","2,105,723","2,305,270","2,372,059","2,543,677","2,701,544","2,764,053","2,833,607","2,908,154","2,985,050"
 Ivory Coast,"63,119","72,833","71,075","79,630","87,096","99,207","111,446","120,751","131,064","142,900","155,669"
 Jamaica,"15,079","15,982","18,710","21,299","21,900","23,137","24,132","25,090","25,977","26,898","27,814"
 Japan,"5,054,069","5,039,148","4,263,231","4,204,573","4,019,382","4,279,828","4,463,634","4,624,079","4,820,609","4,947,728","5,119,885"
 Jordan,"43,762","46,362","48,834","51,161","53,428","56,157","59,288","62,593","66,082","69,766","73,656"
 Kazakhstan,"171,082","197,112","225,496","261,840","291,480","300,052","319,770","348,039","373,868","401,608","429,484"
 Kenya,"100,922","109,875","114,733","108,206","119,307","136,014","140,871","144,676","149,171","156,809","166,081"
 Kiribati,222,285,271,289,308,321,343,359,374,390,406
 Kosovo,"7,728","9,418","9,375","10,470","11,200","12,672","14,097","14,910","15,768","16,701","17,706"
 Kuwait,"111,048","148,346","183,539","165,396","160,226","157,469","162,895","169,170","176,086","183,096","190,176"
 Kyrgyzstan,"8,283","9,256","12,269","15,187","17,491","20,160","21,563","23,072","24,649","26,349","28,155"
 Laos,"18,511","18,533","15,121","15,011","15,908","16,934","17,781","18,613","19,471","20,387","21,343"
 Latvia,"33,353","38,209","38,045","42,584","43,508","47,880","52,248","55,114","57,860","60,722","63,664"
 Lebanon,"24,976","19,782","24,748","23,607","28,280",,,,,,
 Lesotho,"2,092","2,445","2,275","2,215","2,298","2,390","2,474","2,535","2,629","2,714","2,885"
 Liberia,"3,037","3,509","3,974","4,390","4,778","5,182","5,594","5,971","6,367","6,796","7,276"
 Libya,"46,893","35,216","43,281","43,958","48,363","47,941","49,164","51,158","53,138","55,463","57,857"
 Liechtenstein,"6,405","7,913","7,378","8,286","8,500","9,424","10,116","10,586","11,070","11,575","12,119"
 Lithuania,"57,352","67,068","71,082","79,824","84,847","95,274","104,651","109,192","114,332","119,919","125,875"
 Luxembourg,"73,612","86,444","80,865","88,815","93,252","100,642","107,758","112,169","116,867","121,716","126,829"
 Macau,"25,344","30,969","24,998","45,802","50,182","52,379","54,935","57,762","60,623","63,729","66,877"
 Madagascar,"13,051","14,355","15,326","15,870","17,421","19,377","21,091","22,957","25,380","28,045","30,993"
 Malawi,"11,847","12,475","12,531","13,439","11,797","14,975","17,855","20,945","24,176","27,551","31,325"
 Malaysia,"337,456","373,785","407,830","399,949","422,227","470,572","505,364","537,582","572,617","608,846","646,456"
 Maldives,"3,706","5,240","6,168","6,611","7,052","7,676","8,221","8,729","9,260","9,824","10,426"
 Mali,"17,491","19,320","19,319","21,184","22,789","25,591","28,478","30,479","32,617","34,931","37,414"
 Malta,"16,392","19,753","18,943","22,617","24,964","27,745","30,437","32,211","34,114","36,158","38,339"
 Marshall Islands,242,259,253,259,281,302,332,357,376,392,408
 Mauritania,"8,464","9,126","9,564","10,724","11,003","11,953","12,854","13,463","14,325","15,135","15,498"
 Mauritius,"11,408","11,484","12,908","14,101","14,986","15,730","16,756","17,848","18,997","20,196","21,447"
 Mexico,"1,121,065","1,316,569","1,466,935","1,798,318","1,856,366","1,862,740","2,030,999","2,125,974","2,226,997","2,332,093","2,442,324"
 Moldova,"11,530","13,694","14,524","16,711","18,201","19,620","21,024","22,956","25,115","27,477","30,003"
 Mongolia,"13,313","15,286","17,146","20,315","23,795","25,105","26,520","27,972","29,452","30,918","32,498"
 Montenegro,"4,730","5,827","6,265","7,646","8,272","9,353","10,229","10,753","11,283","11,857","12,451"
 Morocco,"121,354","142,022","131,245","146,057","160,606","179,612","196,121","208,803","222,173","236,178","251,959"
 Mozambique,"14,235","16,168","18,884","20,921","22,745","24,726","26,512","28,295","30,049","33,479","38,005"
 Myanmar,"76,987","55,232","67,403","62,299","61,653","60,561","65,171","71,106","76,871","82,666","84,161"
 Namibia,"10,583","12,399","12,564","12,402","13,370","14,686","16,100","17,332","18,282","19,446","20,580"
 Nauru,125,176,152,152,162,172,183,191,198,207,216
 Nepal,"33,434","36,927","41,183","41,048","42,914","45,513","49,112","53,393","58,462","64,021","70,123"
 Netherlands,"931,814","1,055,173","1,047,364","1,135,803","1,214,562","1,320,635","1,413,076","1,461,316","1,508,522","1,557,898","1,607,568"
 New Zealand,"210,540","249,785","245,228","253,789","258,365","262,909","280,553","291,551","302,514","314,968","327,463"
 Nicaragua,"12,730","14,208","15,634","17,813","19,694","20,689","21,860","23,183","24,618","26,142","27,761"
 Niger,"13,764","14,923","15,458","16,809","19,866","22,969","26,110","28,303","30,550","33,000","35,686"
 Nigeria,"598,725","609,479","645,682","487,347","252,109","285,003","334,341","359,267","375,869","408,390","443,602"
 North Macedonia,"12,385","14,008","13,957","15,772","16,679","18,783","20,751","21,968","23,063","24,276","25,523"
 Norway,"367,633","503,368","596,298","482,950","483,593","517,102","547,693","566,059","583,576","602,031","621,811"
 Oman,"75,909","87,324","109,853","105,896","106,943","105,190","108,913","114,174","120,296","126,854","133,367"
 Pakistan,"300,410","348,481","374,850","336,555","371,408","410,495",,,,,
 Palau,259,236,247,276,322,341,362,382,401,419,437
 Palestine,"15,532","18,109","19,166","17,848","13,711",,,,,,
 Panama,"57,060","67,396","76,479","83,812","86,524","90,408","95,905","101,736","107,921","114,483","121,443"
 Papua New Guinea,"23,848","26,113","31,653","30,729","31,496","32,714","33,463","34,708","35,834","36,971","38,290"
 Paraguay,"35,432","39,951","41,953","43,118","44,458","47,398","51,669","54,636","57,690","60,926","64,347"
 Peru,"209,984","229,832","248,204","271,780","294,675","318,480","326,608","344,740","360,511","376,719","393,880"
 Philippines,"361,751","394,087","404,353","437,055","461,617","494,158","533,922","579,389","629,600","685,718","746,498"
 Poland,"605,930","689,253","695,734","812,959","914,553","1,039,619","1,109,962","1,174,266","1,243,528","1,313,449","1,386,324"
 Portugal,"229,435","256,226","257,101","289,781","308,581","337,936","364,527","377,234","390,742","405,059","420,083"
 Puerto Rico,"103,131","106,427","113,844","118,375","125,842","126,546","129,192","133,750","137,743","141,811","145,896"
 Qatar,"144,411","179,732","235,709","213,003","219,631","222,119","239,142","260,125","273,078","282,774","296,845"
 Republic of the Congo,"11,485","13,387","13,967","14,169","14,774","15,695","16,952","17,971","19,152","20,406","21,674"
 Romania,"252,372","286,783","296,928","350,847","382,854","422,508","444,807","453,628","466,224","489,380","514,342"
 Russia,"1,488,118","1,828,927","2,295,526","2,059,759","2,173,225","2,540,656","2,509,421","2,579,614","2,658,999","2,742,555","2,829,861"
 Rwanda,"10,174","11,066","13,313","14,331","14,251","14,771","15,472","16,308","17,239","18,430","19,968"
 Saint Kitts and Nevis,884,859,980,"1,060","1,079","1,141","1,190","1,246","1,305","1,368","1,432"
 Saint Lucia,"1,511","1,869","2,334","2,397","2,574","2,659","2,770","2,893","3,021","3,149","3,276"
 Saint Vincent and the Grenadines,864,888,970,"1,068","1,162","1,238","1,299","1,360","1,425","1,493","1,563"
 Samoa,869,860,890,"1,045","1,176","1,248","1,333","1,398","1,459","1,534","1,603"
 San Marino,"1,543","1,857","1,833","2,028","2,082","2,241","2,393","2,462","2,537","2,618","2,701"
 São Tomé and Príncipe,476,529,546,696,828,976,"1,125","1,236","1,351","1,479","1,618"
 Saudi Arabia,"767,303","982,661","1,239,075","1,218,585","1,239,805","1,268,535","1,316,250","1,378,839","1,448,499","1,522,126","1,596,411"
 Senegal,"24,534","27,584","27,750","30,701","32,816","36,839","39,986","42,001","44,381","47,053","50,165"
 Serbia,"55,874","65,830","66,798","81,343","89,074","100,048","112,108","121,291","129,520","138,759","148,706"
 Seychelles,"1,384","1,490","2,018","2,187","2,178","2,230","2,249","2,340","2,454","2,574","2,701"
 Sierra Leone,"6,682","7,165","7,119","6,397","7,792","8,639","9,302","9,735","10,152","10,630","11,165"
 Singapore,"349,166","436,591","509,018","505,440","547,387","574,185","606,225","633,141","661,347","690,602","721,319"
 Slovakia,"107,646","120,641","115,975","133,936","141,733","154,587","167,730","175,605","183,737","191,410","199,114"
 Slovenia,"53,342","61,582","59,946","69,275","72,950","79,221","85,738","89,576","93,612","97,719","102,031"
 Solomon Islands,"1,536","1,523","1,566","1,661","1,778","1,904","2,051","2,182","2,296","2,418","2,546"
 Somalia,"8,628","9,484","10,203","10,969","12,161","12,944","13,912","15,040","16,213","17,436","18,730"
 South Africa,"337,876","419,878","407,430","381,334","401,076","426,383","443,643","458,443","475,516","493,349","512,017"
 South Korea,"1,744,455","1,942,314","1,799,363","1,844,801","1,875,388","1,858,572","1,936,617","2,017,010","2,099,702","2,184,804","2,271,152"
 South Sudan,"5,423","5,940","7,533","7,401","4,648","4,979","6,033","6,767","7,087","7,748","8,117"
 Spain,"1,288,751","1,462,216","1,449,990","1,619,949","1,725,152","1,891,371","2,041,830","2,129,615","2,208,704","2,292,690","2,380,017"
 Sri Lanka,"84,304","88,609","74,584","83,723","98,964",,,,,,
 Sudan,"35,237","35,141","33,500","36,983","29,184","35,897","39,474","46,090","50,540","52,730","55,570"
 Suriname,"2,912","3,084","3,631","3,445","4,452","4,496","4,870","5,185","6,984","10,923","11,543"
 Sweden,"544,266","631,693","575,071","578,991","603,715","662,318","711,503","740,513","770,062","800,502","832,100"
 Switzerland,"741,288","814,696","828,513","894,815","938,153","1,002,666","1,074,588","1,114,378","1,163,129","1,206,534","1,259,072"
 Syria,"60,043",,,,,,,,,,
 Taiwan,"676,861","776,965","765,624","757,335","797,004","884,387","971,448","1,018,477","1,054,976","1,082,753","1,169,821"
 Tajikistan,"8,134","8,934","10,714","12,203","14,199","17,032","18,941","19,892","21,104","22,415","23,955"
 Tanzania,"63,373","67,964","74,173","78,368","79,236","87,444","95,349","104,652","115,063","126,394","138,582"
 Thailand,"500,462","506,195","495,645","515,906","526,518","558,573","561,509","580,613","602,991","627,723","654,084"
 Timor-Leste,"2,163","3,625","3,209","2,080","2,015","2,125","2,208","2,343","2,485","2,637","2,797"
 Togo,"7,400","8,338","8,144","9,081","9,776","10,951","12,176","13,069","14,039","15,092","16,241"
 Tonga,503,520,515,513,558,587,616,645,670,693,717
 Trinidad and Tobago,"20,889","24,223","28,341","25,037","25,634","26,002","26,758","27,813","28,979","30,048","30,863"
 Tunisia,"42,494","46,813","44,596","48,541","52,925","59,069","60,434","60,467","61,552","62,295","63,864"
 Turkey,"730,345","827,673","924,752","1,153,295","1,358,251","1,565,471","1,576,110","1,640,862","1,760,433","1,866,297","1,961,776"
 Turkmenistan,"45,455","49,477","56,677","62,814","68,675","72,119","76,897","83,632","91,767","100,714","110,589"
 Tuvalu,53,62,54,51,56,58,61,64,67,70,73
 Uganda,"37,888","42,808","47,263","52,003","56,232","64,993","72,456","79,609","86,889","95,966","106,655"
 Ukraine,"156,566","199,835","161,987","181,228","190,687","209,713","224,259","238,531","254,463","271,235","288,846"
 United Arab Emirates,"357,162","422,441","511,403","522,622","552,325","569,097","601,163","639,415","680,124","722,479","764,850"
 United Kingdom,"2,698,705","3,144,079","3,125,404","3,371,118","3,644,636","3,958,780","4,225,639","4,441,871","4,673,359","4,928,634","5,199,779"
 United States,"21,375,275","23,725,650","26,054,600","27,811,500","29,298,025","30,615,743","31,821,293","33,019,978","34,258,401","35,513,831","36,814,251"
 Uruguay,"53,557","60,742","70,600","77,997","80,961","84,986","90,640","94,664","99,564","104,523","109,839"
 Uzbekistan,"66,443","77,340","90,125","102,634","114,962","137,480","159,199","178,042","197,321","217,902","240,767"
 Vanuatu,"1,008",921,"1,035","1,125","1,090","1,119","1,176","1,235","1,292","1,351","1,413"
 Venezuela,"42,838","56,615","89,013","102,377","119,803","82,767","79,916",,,,
 Vietnam,"346,310","370,076","411,068","433,008","459,472","484,726","511,059","545,213","583,731","624,103","666,786"
 Yemen,"20,220","19,394","23,534","19,412","19,101","17,352","17,240","18,723","21,707","23,658","25,778"
 Zambia,"18,138","22,096","29,164","27,578","26,326","29,369","33,945","39,699","43,699","46,856","50,428"
 Zimbabwe,"39,962","52,413","48,570","44,372","49,154","53,310","55,434","57,457","59,465","61,518","63,68"
